"city1";"city2";"avg_fare";"total_passengers";"number_of_trips"
"Tucson, AZ";"Washington, DC (Metropolitan Area)";288.815151;39660.0;365
"Phoenix, AZ";"Pittsburgh, PA";243.865735;26240.0;68
"Phoenix, AZ";"Seattle, WA";174.767101;152989.0;69
"Phoenix, AZ";"Washington, DC (Metropolitan Area)";278.93119;171937.0;378
"Phoenix, AZ";"St. Louis, MO";216.031765;45256.0;68
"Phoenix, AZ";"Sioux Falls, SD";181.978854;12876.0;96
"Phoenix, AZ";"Spokane, WA";186.204935;24272.0;77
"Phoenix, AZ";"San Francisco, CA (Metropolitan Area)";136.632716;400353.0;394
"Phoenix, AZ";"Sacramento, CA";159.836824;74112.0;85
"Phoenix, AZ";"Tampa, FL (Metropolitan Area)";212.611954;49794.0;174
"Phoenix, AZ";"San Antonio, TX";209.893333;29937.0;66
"Phoenix, AZ";"San Diego, CA";135.545405;92214.0;74
"Phoenix, AZ";"Portland, OR";178.5;87579.0;74
"Phoenix, AZ";"Raleigh/Durham, NC";253.713538;21940.0;65
"Phoenix, AZ";"Reno, NV";175.805692;28041.0;65
"Phoenix, AZ";"Salt Lake City, UT";167.622059;82432.0;68
"Phoenix, AZ";"Tulsa, OK";209.252167;11424.0;60
"Hartford, CT";"Phoenix, AZ";284.285942;15112.0;69
"Hartford, CT";"Washington, DC (Metropolitan Area)";167.350938;112958.0;373
"Hartford, CT";"San Francisco, CA (Metropolitan Area)";303.254824;39370.0;340
"Hartford, CT";"Miami, FL (Metropolitan Area)";169.559283;96267.0;237
"Hartford, CT";"Los Angeles, CA (Metropolitan Area)";297.874089;57835.0;587
"Hartford, CT";"Tampa, FL (Metropolitan Area)";152.512417;78455.0;120
"Seattle, WA";"Washington, DC (Metropolitan Area)";296.011995;176179.0;391
"Seattle, WA";"Tampa, FL (Metropolitan Area)";234.204056;42227.0;143
"Birmingham, AL";"Dallas/Fort Worth, TX";192.813974;39431.0;229
"Birmingham, AL";"Washington, DC (Metropolitan Area)";214.287934;52601.0;363
"Birmingham, AL";"Chicago, IL";173.26636;41454.0;250
"Birmingham, AL";"Houston, TX";173.902399;36468.0;271
"Birmingham, AL";"New York City, NY (Metropolitan Area)";247.396991;36899.0;688
"Birmingham, AL";"Miami, FL (Metropolitan Area)";191.516552;15626.0;174
"Birmingham, AL";"Los Angeles, CA (Metropolitan Area)";274.501398;25283.0;565
"Birmingham, AL";"Tampa, FL (Metropolitan Area)";144.045091;28124.0;110
"El Paso, TX";"Phoenix, AZ";149.973846;20165.0;65
"El Paso, TX";"Washington, DC (Metropolitan Area)";272.933526;27680.0;363
"El Paso, TX";"Houston, TX";182.615761;44356.0;276
"El Paso, TX";"New York City, NY (Metropolitan Area)";320.241529;13315.0;399
"El Paso, TX";"Los Angeles, CA (Metropolitan Area)";176.656559;64906.0;590
"Cleveland, OH (Metropolitan Area)";"Dallas/Fort Worth, TX";240.068886;54824.0;404
"Cleveland, OH (Metropolitan Area)";"Denver, CO";221.743136;56798.0;236
"Cleveland, OH (Metropolitan Area)";"Phoenix, AZ";214.961529;61872.0;242
"Cleveland, OH (Metropolitan Area)";"Seattle, WA";267.648402;24457.0;194
"Cleveland, OH (Metropolitan Area)";"Nashville, TN";151.000169;41263.0;236
"Cleveland, OH (Metropolitan Area)";"Washington, DC (Metropolitan Area)";182.235115;96785.0;696
"Cleveland, OH (Metropolitan Area)";"St. Louis, MO";153.6754;33387.0;200
"Cleveland, OH (Metropolitan Area)";"Myrtle Beach, SC";119.786667;2435.0;24
"Cleveland, OH (Metropolitan Area)";"Houston, TX";229.699655;51406.0;521
"Cleveland, OH (Metropolitan Area)";"Orlando, FL";146.00822;111623.0;236
"Cleveland, OH (Metropolitan Area)";"Minneapolis/St. Paul, MN";261.431581;34919.0;234
"Cleveland, OH (Metropolitan Area)";"New York City, NY (Metropolitan Area)";209.197917;153563.0;1368
"Cleveland, OH (Metropolitan Area)";"Fort Myers, FL";163.07089;60854.0;236
"Cleveland, OH (Metropolitan Area)";"Las Vegas, NV";196.112797;96253.0;236
"Cleveland, OH (Metropolitan Area)";"San Francisco, CA (Metropolitan Area)";289.508483;57670.0;692
"Cleveland, OH (Metropolitan Area)";"Miami, FL (Metropolitan Area)";179.641801;87877.0;472
"Cleveland, OH (Metropolitan Area)";"Los Angeles, CA (Metropolitan Area)";284.0313;94056.0;1085
"Cleveland, OH (Metropolitan Area)";"Tampa, FL (Metropolitan Area)";144.260714;75117.0;308
"Cleveland, OH (Metropolitan Area)";"San Diego, CA";249.708913;25098.0;230
"Cleveland, OH (Metropolitan Area)";"Philadelphia, PA";264.822582;30696.0;213
"Cleveland, OH (Metropolitan Area)";"Sarasota/Bradenton, FL";160.390385;2204.0;26
"Nashville, TN";"Phoenix, AZ";237.692941;33325.0;68
"Nashville, TN";"Washington, DC (Metropolitan Area)";194.120703;136284.0;370
"Nashville, TN";"New York City, NY (Metropolitan Area)";217.520056;159342.0;710
"Nashville, TN";"San Francisco, CA (Metropolitan Area)";244.524492;55287.0;354
"Nashville, TN";"Tampa, FL (Metropolitan Area)";150.191678;62595.0;143
"Boise, ID";"Dallas/Fort Worth, TX";255.226591;4269.0;44
"Boise, ID";"Phoenix, AZ";155.473146;23383.0;89
"Boise, ID";"Chicago, IL";262.725625;3195.0;32
"Boise, ID";"New York City, NY (Metropolitan Area)";283.2475;181.0;4
"Boise, ID";"San Francisco, CA (Metropolitan Area)";168.652542;51501.0;354
"Boise, ID";"Los Angeles, CA (Metropolitan Area)";166.335112;64615.0;579
"Boston, MA (Metropolitan Area)";"Dallas/Fort Worth, TX";263.580961;174604.0;666
"Boston, MA (Metropolitan Area)";"Pittsburgh, PA";193.115932;98118.0;354
"Boston, MA (Metropolitan Area)";"Denver, CO";245.035282;170582.0;354
"Boston, MA (Metropolitan Area)";"Phoenix, AZ";238.14972;131276.0;357
"Boston, MA (Metropolitan Area)";"Seattle, WA";276.43935;119518.0;354
"Boston, MA (Metropolitan Area)";"Cleveland, OH (Metropolitan Area)";205.145367;82961.0;708
"Boston, MA (Metropolitan Area)";"Nashville, TN";190.84726;81989.0;354
"Boston, MA (Metropolitan Area)";"Buffalo, NY";190.145804;48767.0;336
"Boston, MA (Metropolitan Area)";"Bozeman, MT";316.068095;1185.0;21
